power,time
1148.261,2315
1148.39,2314
1148.473,2313
1148.749,2312
1148.801,2311
1148.803,2310
1149.063,2309
1149.491,2308
1149.561,2307
1149.565,2306
1149.67,2305
1149.926,2304
1150.103,2303
1150.12,2302
1150.449,2301
1150.477,2300
1150.552,2299
1150.783,2298
1150.939,2297
1151.028,2296
1151.038,2295
1151.058,2294
1151.197,2293
1151.212,2292
1151.418,2291
1151.557,2290
1151.683,2289
1151.705,2288
1152.02,2287
1152.051,2286
1152.309,2285
1152.573,2284
1152.909,2283
1152.97,2282
1152.989,2281
1153.043,2280
1153.05,2279
1153.076,2278
1153.33,2277
1153.348,2276
1153.537,2275
1153.548,2274
1153.71,2273
1153.763,2272
1153.897,2271
1154.005,2270
1154.246,2269
1154.248,2268
1154.441,2267
1154.474,2266
1154.521,2265
1154.672,2264
1154.718,2263
1154.857,2262
1154.865,2261
1154.895,2260
1154.935,2259
1154.956,2258
1155.123,2257
1155.391,2256
1155.491,2255
1155.585,2254
1155.776,2253
1155.905,2252
1156.167,2251
1156.182,2250
1156.854,2249
1156.854,2248
1157.008,2247
1157.23,2246
1157.277,2245
1157.549,2244
1157.573,2243
1157.578,2242
1157.653,2241
1157.814,2240
1157.901,2239
1158.02,2238
1158.069,2237
1158.24,2236
1158.272,2235
1158.431,2234
1158.49,2233
1158.503,2232
1158.52,2231
1158.579,2230
1158.867,2229
1158.885,2228
1159.017,2227
1159.038,2226
1159.04,2225
1159.52,2224
1159.574,2223
1159.662,2222
1159.746,2221
1159.818,2220
1160.023,2219
1160.12,2218
1160.208,2217
1160.401,2216
1160.408,2215
1160.515,2214
1160.569,2213
1160.614,2212
1160.858,2211
1160.977,2210
1160.987,2209
1161.112,2208
1161.205,2207
1161.249,2206
1161.254,2205
1161.273,2204
1161.427,2203
1162.029,2202
1162.114,2201
1162.12,2200
1162.213,2199
1162.258,2198
1162.41,2197
1162.443,2196
1162.481,2195
1162.499,2194
1162.681,2193
1162.754,2192
1162.81,2191
1162.968,2190
1163.36,2189
1163.607,2188
1163.669,2187
1163.895,2186
1164.008,2185
1164.025,2184
1164.178,2183
1164.215,2182
1164.399,2181
1164.453,2180
1164.581,2179
1164.611,2178
1164.769,2177
1165.118,2176
1165.475,2175
1165.762,2174
1165.897,2173
1166.092,2172
1166.149,2171
1166.165,2170
1166.257,2169
1166.42,2168
1166.596,2167
1166.667,2166
1166.824,2165
1167.165,2164
1167.286,2163
1167.454,2162
1167.549,2161
1167.762,2160
1167.818,2159
1168.125,2158
1168.227,2157
1168.24,2156
1168.247,2155
1168.364,2154
1168.402,2153
1168.453,2152
1168.788,2151
1169.242,2150
1169.243,2149
1169.724,2148
1169.863,2147
1169.954,2146
1169.96,2145
1170.05,2144
1170.134,2143
1170.254,2142
1170.418,2141
1170.441,2140
1170.479,2139
1170.513,2138
1170.843,2137
1170.907,2136
1170.955,2135
1170.98,2134
1171.134,2133
1171.365,2132
1171.497,2131
1171.655,2130
1171.836,2129
1171.933,2128
1172.054,2127
1172.085,2126
1172.37,2125
1172.43,2124
1172.561,2123
1172.622,2122
1172.653,2121
1172.71,2120
1172.735,2119
1173.092,2118
1173.196,2117
1173.296,2116
1173.645,2115
1173.932,2114
1173.948,2113
1173.964,2112
1174.039,2111
1174.28,2110
1174.379,2109
1174.456,2108
1174.536,2107
1174.601,2106
1174.611,2105
1174.627,2104
1174.631,2103
1175.064,2102
1175.192,2101
1175.228,2100
1175.269,2099
1175.441,2098
1175.989,2097
1176.162,2096
1176.216,2095
1176.234,2094
1176.348,2093
1176.444,2092
1176.873,2091
1176.978,2090
1177.015,2089
1177.053,2088
1177.214,2087
1177.229,2086
1177.258,2085
1177.27,2084
1177.323,2083
1177.651,2082
1177.967,2081
1178.214,2080
1178.274,2079
1178.307,2078
1178.43,2077
1178.515,2076
1178.724,2075
1178.765,2074
1178.777,2073
1179.038,2072
1179.337,2071
1179.416,2070
1179.508,2069
1179.585,2068
1179.708,2067
1180.068,2066
1180.149,2065
1180.641,2064
1180.707,2063
1180.873,2062
1180.944,2061
1181.006,2060
1181.126,2059
1181.168,2058
1181.265,2057
1181.362,2056
1181.514,2055
1181.761,2054
1181.886,2053
1181.953,2052
1182.042,2051
1182.045,2050
1182.241,2049
1182.396,2048
1182.619,2047
1182.627,2046
1182.649,2045
1182.728,2044
1183.165,2043
1183.259,2042
1183.444,2041
1183.525,2040
1183.8,2039
1183.829,2038
1183.856,2037
1183.937,2036
1184.108,2035
1184.145,2034
1184.189,2033
1184.355,2032
1184.455,2031
1184.484,2030
1184.516,2029
1184.523,2028
1184.643,2027
1184.783,2026
1184.783,2025
1184.794,2024
1184.861,2023
1184.936,2022
1185.236,2021
1185.29,2020
1185.353,2019
1185.378,2018
1185.626,2017
1185.781,2016
1186.292,2015
1186.31,2014
1186.763,2013
1187.051,2012
1187.059,2011
1187.084,2010
1187.343,2009
1187.358,2008
1187.459,2007
1187.464,2006
1187.47,2005
1187.482,2004
1187.562,2003
1187.654,2002
1187.741,2001
1187.828,2000
1187.956,1999
1188.027,1998
1188.15,1997
1188.16,1996
1188.215,1995
1188.298,1994
1188.301,1993
1188.694,1992
1188.714,1991
1188.826,1990
1188.938,1989
1188.993,1988
1189.036,1987
1189.276,1986
1189.325,1985
1189.469,1984
1189.499,1983
1189.536,1982
1189.547,1981
1189.732,1980
1190.235,1979
1190.453,1978
1190.494,1977
1190.518,1976
1190.629,1975
1190.639,1974
1190.696,1973
1190.717,1972
1190.926,1971
1190.958,1970
1190.977,1969
1191.149,1968
1191.235,1967
1191.423,1966
1191.478,1965
1191.501,1964
1191.714,1963
1191.912,1962
1192.104,1961
1192.158,1960
1192.16,1959
1192.204,1958
1192.414,1957
1192.552,1956
1192.607,1955
1192.679,1954
1192.776,1953
1192.807,1952
1193.018,1951
1193.349,1950
1193.648,1949
1193.661,1948
1193.682,1947
1193.74,1946
1194.045,1945
1194.105,1944
1194.188,1943
1195.054,1942
1195.343,1941
1195.607,1940
1195.619,1939
1195.77,1938
1195.952,1937
1196.468,1936
1196.482,1935
1196.563,1934
1196.656,1933
1196.804,1932
1197.435,1931
1197.621,1930
1197.764,1929
1197.78,1928
1197.903,1927
1197.931,1926
1198.423,1925
1198.485,1924
1198.557,1923
1198.584,1922
1198.72,1921
1198.776,1920
1198.788,1919
1198.844,1918
1199.312,1917
1199.363,1916
1199.368,1915
1199.55,1914
1199.599,1913
1199.692,1912
1199.746,1911
1200.049,1910
1200.088,1909
1200.379,1908
1200.56,1907
1200.726,1906
1200.841,1905
1200.897,1904
1200.98,1903
1201.026,1902
1201.046,1901
1201.06,1900
1201.195,1899
1201.263,1898
1201.333,1897
1201.456,1896
1201.507,1895
1201.581,1894
1201.679,1893
1202.043,1892
1202.248,1891
1202.413,1890
1202.427,1889
1202.445,1888
1202.462,1887
1202.62,1886
1203.098,1885
1203.23,1884
1203.434,1883
1203.487,1882
1203.567,1881
1203.75,1880
1204.001,1879
1204.329,1878
1204.632,1877
1204.646,1876
1204.657,1875
1204.689,1874
1204.928,1873
1205.152,1872
1205.422,1871
1205.423,1870
1205.477,1869
1205.489,1868
1205.669,1867
1205.724,1866
1205.791,1865
1205.799,1864
1206.027,1863
1206.227,1862
1206.41,1861
1206.61,1860
1206.685,1859
1206.695,1858
1206.879,1857
1206.89,1856
1207.157,1855
1207.229,1854
1207.424,1853
1207.907,1852
1207.936,1851
1208.232,1850
1208.279,1849
