power,time
828,6696
829,6684
830,6671
831,6660
832,6643
833,6631
834,6621
835,6609
836,6599
837,6584
838,6565
839,6548
840,6530
841,6512
842,6498
843,6487
844,6470
845,6459
846,6443
847,6429
848,6409
849,6391
850,6375
851,6362
852,6346
853,6332
854,6316
855,6305
856,6294
857,6277
858,6262
859,6240
860,6224
861,6212
862,6199
863,6184
864,6171
865,6148
866,6139
867,6130
868,6112
869,6093
870,6084
871,6064
872,6050
873,6030
874,6014
875,5995
876,5976
877,5959
878,5951
879,5934
880,5930
881,5917
882,5906
883,5889
884,5869
885,5860
886,5843
887,5822
888,5803
889,5788
890,5767
891,5753
892,5742
893,5728
894,5705
895,5686
896,5668
897,5650
898,5639
899,5623
900,5615
901,5600
902,5584
903,5566
904,5553
905,5537
906,5523
907,5503
908,5492
909,5473
910,5453
911,5436
912,5418
913,5407
914,5392
915,5383
916,5356
917,5342
918,5327
919,5307
920,5293
921,5280
922,5269
923,5255
924,5240
925,5229
926,5213
927,5196
928,5176
929,5161
930,5149
931,5126
932,5103
933,5086
934,5075
935,5060
936,5044
937,5026
938,5020
939,5001
940,4985
941,4969
942,4953
943,4942
944,4921
945,4909
946,4891
947,4878
948,4858
949,4838
950,4825
951,4809
952,4794
953,4782
954,4767
955,4754
956,4737
957,4718
958,4701
959,4688
960,4672
961,4658
962,4648
963,4634
964,4616
965,4607
966,4592
967,4577
968,4562
969,4552
970,4542
971,4525
972,4507
973,4496
974,4485
975,4469
976,4452
977,4440
978,4426
979,4408
980,4395
981,4366
982,4347
983,4337
984,4325
985,4312
986,4296
987,4275
988,4264
989,4248
990,4234
991,4223
992,4205
993,4196
994,4184
995,4172
996,4157
997,4145
998,4118
999,4098
1000,4082
1001,4064
1002,4044
1003,4032
1004,4015
1005,3996
1006,3982
1007,3965
1008,3939
1009,3917
1010,3904
1011,3888
1012,3869
1013,3856
1014,3837
1015,3825
1016,3808
1017,3791
1018,3779
1019,3761
1020,3751
1021,3735
1022,3723
1023,3707
1024,3694
1025,3681
1026,3662
1027,3643
1028,3634
1029,3621
1030,3608
1031,3595
1032,3585
1033,3570
1034,3553
1035,3532
1036,3522
1037,3512
1038,3502
1039,3489
1040,3472
1041,3458
1042,3444
1043,3431
1044,3421
